id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k
15651,0,5340.0,5,2024,6935.0,10471.0,14420.0,2.0,333.75,328.6729857819905,327.21875,5.077014218009481,1.4542357819905192
8508,0,4752.0,1,2024,6460.0,10472.0,,3.0,297.0,306.1611374407583,327.25,-9.161137440758296,-21.088862559241704
1619,0,6756.0,0,2024,6217.0,10476.0,15612.0,4.0,422.25,294.6445497630332,327.375,127.60545023696682,-32.73045023696682
3699,0,4511.0,0,2025,6287.0,10481.0,,2.0,281.9375,297.9620853080568,327.53125,-16.024585308056828,-29.569164691943172
15605,0,4862.0,5,2024,6293.0,10481.0,,5.0,303.875,298.2464454976303,327.53125,5.6285545023696955,-29.284804502369695
15810,0,6259.0,5,2024,7001.0,10481.0,13836.0,2.0,391.1875,331.80094786729853,327.53125,59.38655213270147,4.269697867298532
3692,0,4453.0,0,2025,6287.0,10484.0,,3.0,278.3125,297.9620853080568,327.625,-19.649585308056828,-29.662914691943172
1063,0,6423.0,0,2024,8091.0,10490.0,14401.0,1.0,401.4375,383.4597156398104,327.8125,17.977784360189617,55.64721563981038
15525,0,8916.0,4,2024,8200.0,10494.0,,1.0,557.25,388.62559241706157,327.9375,168.62440758293843,60.68809241706157
8510,0,4764.0,1,2024,6862.0,10507.0,,3.0,297.75,325.2132701421801,328.34375,-27.46327014218008,-3.130479857819921
14989,0,4986.0,4,2024,6334.0,10528.0,14549.0,3.0,311.625,300.18957345971563,329.0,11.435426540284368,-28.810426540284368
374,0,5263.0,0,2024,6816.0,10548.0,,2.0,328.9375,323.0331753554502,329.625,5.904324644549774,-6.591824644549774
3730,0,4747.0,0,2025,6528.0,10552.0,,1.0,296.6875,309.38388625592415,329.75,-12.696386255924153,-20.366113744075847
13986,0,6430.0,2,2024,8563.0,10554.0,,4.0,401.875,405.82938388625587,329.8125,-3.9543838862558687,76.01688388625587
8518,0,4952.0,1,2024,6589.0,10563.0,14522.0,5.0,309.5,312.27488151658764,330.09375,-2.774881516587641,-17.81886848341236
8524,0,5010.0,1,2024,6456.0,10564.0,,3.0,313.125,305.9715639810426,330.125,7.153436018957393,-24.153436018957393
8528,0,5065.0,1,2024,6404.0,10567.0,19689.0,2.0,316.5625,303.50710900473933,330.21875,13.055390995260666,-26.711640995260666
3753,0,4782.0,0,2025,6523.0,10569.0,,0.0,298.875,309.1469194312796,330.28125,-10.271919431279628,-21.134330568720372
432,0,5228.0,0,2024,7474.0,10578.0,17166.0,1.0,326.75,354.21800947867297,330.5625,-27.46800947867297,23.65550947867297
3754,1,4838.0,0,2025,6559.0,10584.0,,1.0,302.375,310.8530805687204,330.75,-8.478080568720372,-19.896919431279628
3724,0,4681.0,0,2025,6605.0,10585.0,,5.0,292.5625,313.0331753554502,330.78125,-20.470675355450226,-17.748074644549774
3889,0,5247.0,0,2025,6503.0,10601.0,,5.0,327.9375,308.1990521327014,331.28125,19.73844786729859,-23.08219786729859
71,0,4609.0,0,2024,6921.0,10602.0,,1.0,288.0625,328.0094786729858,331.3125,-39.94697867298578,-3.3030213270142212
