,id,chipTime_16k,year,chipTime_21k,chipTime_32k,chipTime_42k,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k,city_Baguio,city_Cagayan de Oro,city_Cebu,city_Davao,city_Iloilo-Bacolod,city_Manila,gender_Female,gender_Male,age_17 an,age_18-24,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70+ M,age_70-74,age_75-79,age_U
60,8498,4601.0,2024,5770.0,9536.0,,287.5625,273.4597156398104,298.0,14.102784360189617,-24.540284360189617,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
61,3666,4126.0,2025,5436.0,9539.0,,257.875,257.63033175355446,298.09375,0.24466824644554208,-40.46341824644554,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
62,3706,4454.0,2025,6639.0,9558.0,,278.375,314.6445497630331,298.6875,-36.269549763033126,15.957049763033126,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
63,15901,6811.0,2024,8904.0,9561.0,,425.6875,421.99052132701416,298.78125,3.6969786729858356,123.20927132701416,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,45,4422.0,2024,5964.0,9578.0,13495.0,276.375,282.65402843601896,299.3125,-6.279028436018962,-16.65847156398104,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
65,3688,4427.0,2025,8230.0,9588.0,,276.6875,390.0473933649289,299.625,-113.3598933649289,90.4223933649289,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
66,6327,7006.0,2025,7083.0,9590.0,,437.875,335.6872037914692,299.6875,102.18779620853081,35.99970379146919,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
67,3686,4414.0,2025,6103.0,9595.0,,275.875,289.2417061611374,299.84375,-13.366706161137415,-10.602043838862585,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
68,3687,4417.0,2025,6107.0,9598.0,,276.0625,289.43127962085305,299.9375,-13.368779620853047,-10.506220379146953,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
69,3665,4100.0,2025,5797.0,9613.0,,256.25,274.73933649289097,300.40625,-18.48933649289097,-25.66691350710903,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
70,15599,4727.0,2024,7002.0,9613.0,,295.4375,331.8483412322275,300.40625,-36.41084123222748,31.442091232227483,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
71,69,4478.0,2024,5952.0,9617.0,14059.0,279.875,282.085308056872,300.53125,-2.210308056872009,-18.44594194312799,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
72,3679,4322.0,2025,5968.0,9619.0,,270.125,282.8436018957346,300.59375,-12.718601895734594,-17.750148104265406,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
73,62,4573.0,2024,5985.0,9628.0,13831.0,285.8125,283.6492890995261,300.875,2.1632109004739277,-17.225710900473928,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
